first_name,last_name,email,username,area_name,middleName,dateOfBirth,embassy,country,authorized-election-ids,sex,clusteredPrecinct,overseasReferences,password_salt,hashed_password
Gene,De Guzman,user1@gmail.com,cec13bf3-3b12-46ff-a669-8c74f2848d68,WASHINGTON DC USA,Del,1970-04-14,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,M,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Gladys,De Guzman,user2@gmail.com,23440ae7-17f0-438f-a1bd-e3b036f9f1b6,UNITED ARAB EMIRATES,Masbate,1983-10-08,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Kevin,Paraiso,user3@gmail.com,10c99e96-15e2-4584-b30a-8893242b8688,UNITED ARAB EMIRATES,Gatchalian,1977-11-10,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,F,0012A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Victor,Umali,user4@gmail.com,72eddf5d-26af-4f7e-a5fc-3d85e9ea0794,UNITED ARAB EMIRATES,Magsaysay,1943-12-07,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Earl,Palma,user5@gmail.com,1e36c5d3-eac8-4171-9cf9-d8c35d15067d,UNITED ARAB EMIRATES,Laurel,1955-07-07,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Earl,Gutang,user6@gmail.com,c600aad6-a4ff-48d5-8960-9b3fef5ad65b,WASHINGTON DC USA,Quezon,2000-02-10,Washington D.C. PE,United States of America/Washington D.C. PE,WASHINGTON D.C. PE - General Election|WASHINGTON D.C. PE - Test Voting,F,0001A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Angel,Encarnacion,user7@gmail.com,cb11a351-aec5-4426-b9b1-405c3e791264,GREECE (HELLENIC REPUBLIC),Alcantara,1948-10-14,Athens PE,Greece/Athens PE,ATHENS PE - Test Voting|ATHENS PE - General Election,F,0001A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Noel,Umali,user8@gmail.com,5717c527-2699-4786-9c11-b0306e81512b,UNITED ARAB EMIRATES,Masbate,1958-05-13,Dubai PCG,United Arab Emirates/Dubai PCG,DUBAI PCG - Test Voting|DUBAI PCG - General Election,M,0012A,X,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
Chris,De Guzman,user9@gmail.com,290dc63a-154f-49a2-953a-7c9d23811848,UNITED STATES OF AMERICA,Villarin,2001-10-14,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,M,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
May,Isidro,user10@gmail.com,506dcd60-ba73-4348-af03-34259f99bcaa,UNITED STATES OF AMERICA,Isidro,1984-05-21,New York PCG,United States of America/New York PCG,NEW YORK PCG - General Election|NEW YORK PCG - Test Voting,F,0075A,B,vHuUFmEFj83NEcK605v8+0lIictoDd6y0hH9kslL1tI=,nxfwS0D32CpmrBL0IteabblrKill/7e1xLceFV//7Xs=
